Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",130.235000,-95.000000,0.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",135.735000,-95.000000,0.000000,top
"J1","UART","PinHeader_1x03_P2.54mm_Vertical",115.195000,-102.500000,90.000000,top
"J4","program","PinHeader_1x05_P2.54mm_Vertical",127.575000,-102.500000,90.000000,top
"J6","BAT","PinHeader_1x02_P2.54mm_Vertical",145.460000,-102.500000,90.000000,top
"R1","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",70.735000,-68.500000,0.000000,top
"R2","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",176.500000,-64.000000,-90.000000,top
"R3","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",174.000000,-96.500000,0.000000,top
"R4","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.500000,-81.000000,0.000000,top
"R5","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",201.500000,-81.000000,0.000000,top
"R6","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",125.235000,-95.000000,0.000000,top
"R7","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",141.235000,-95.000000,180.000000,top
"R10","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",112.735000,-83.500000,0.000000,top
"SW1","SW_Push","SW_PUSH-12mm",182.500000,-65.000000,0.000000,top
"SW2","SW_Push","SW_PUSH-12mm",182.500000,-96.500000,0.000000,top
"SW3","SW_Push","SW_PUSH-12mm",158.500000,-81.000000,0.000000,top
"SW4","SW_Push","SW_PUSH-12mm",207.500000,-81.000000,0.000000,top
"SW5","SW_Push","SW_PUSH_6mm",106.985000,-89.250000,0.000000,top
"U1","XIAO-nRF52840-SMD","XIAO-nRF52840-SMD",116.169500,-75.180250,0.000000,top
"U2","COM-09032","XDCR_COM-09032",85.235000,-81.000000,90.000000,top
